games, wins, q_loss, v_loss
30, 27, 0.007768884891377353, 0.008919999770216961
30, 28, 0.00792106567386298, 0.008826818215630711
30, 29, 0.007591306801823201, 0.008469925721243995
30, 26, 0.007570953323575722, 0.008446214288714853
30, 26, 0.007181725388772151, 0.008078209907041414
30, 28, 0.007126859792808839, 0.008150098526651843
30, 25, 0.007368573582784115, 0.008342156951352878
30, 26, 0.007364089042059065, 0.008339383131375926
30, 28, 0.007519388168461705, 0.00852546390776651
30, 27, 0.0076937138646017015, 0.008820596747149105
30, 28, 0.007618734663128752, 0.00826719841160529
30, 24, 0.007681296354763022, 0.008749425474776883
30, 25, 0.007719807918494642, 0.008671649109143946
